V1;V2;V3;V4;V5;V6;V7;V8;V9;V10
-122.26;150000.0;311.0;51.0;936.0;D;249.0;517.0;12.852;37.83
-122.26;118800.0;202.0;49.0;713.0;D;189.0;462.0;1.025;37.84
-122.26;188800.0;202.0;52.0;950.0;D;198.0;467.0;39.643;37.84
-122.26;184400.0;311.0;52.0;1443.0;D;292.0;660.0;30.125;37.83
-122.26;182300.0;420.0;52.0;1656.0;D;382.0;718.0;26.768;37.83
-122.26;142500.0;322.0;50.0;1125.0;D;304.0;616.0;2.026;37.83
-122.27;137500.0;312.0;43.0;1007.0;D;253.0;558.0;17.348;37.82
-122.26;187500.0;195.0;40.0;624.0;D;160.0;423.0;0.9506;37.82
-122.27;112500.0;375.0;40.0;946.0;D;352.0;700.0;1.775;37.82
-122.27;171900.0;453.0;21.0;896.0;D;438.0;735.0;0.9218;37.82
-122.27;93800.0;456.0;43.0;1868.0;D;407.0;1061.0;15.045;37.82
-122.27;97500.0;853.0;41.0;3221.0;D;720.0;1959.0;11.108;37.82
-122.27;104200.0;456.0;52.0;1630.0;D;400.0;1162.0;12.475;37.82
-122.28;87500.0;235.0;52.0;1170.0;D;233.0;701.0;16.098;37.82
-122.28;83100.0;243.0;52.0;945.0;D;220.0;576.0;14.113;37.82
-122.28;87500.0;288.0;52.0;1238.0;D;259.0;622.0;15.057;37.82
-122.28;85300.0;335.0;52.0;1489.0;D;244.0;728.0;0.8172;37.82
-122.28;80300.0;341.0;52.0;1387.0;D;304.0;1074.0;12.171;37.82
-122.29;60000.0;43.0;2.0;158.0;D;57.0;94.0;25.625;37.82
-122.29;75700.0;211.0;52.0;1121.0;D;187.0;554.0;33.929;37.83
-122.29;75000.0;29.0;49.0;135.0;D;23.0;86.0;61.183;37.82
-122.29;86100.0;190.0;50.0;760.0;D;122.0;377.0;0.9011;37.81
-122.3;76100.0;237.0;52.0;1224.0;D;159.0;521.0;1.191;37.81
-122.3;73500.0;182.0;48.0;828.0;D;133.0;392.0;25.938;37.81
-122.3;78400.0;209.0;52.0;1010.0;D;187.0;604.0;11.667;37.81
-122.3;84400.0;354.0;48.0;1455.0;D;332.0;788.0;0.8056;37.81
-122.29;81300.0;244.0;52.0;1027.0;D;147.0;492.0;26.094;37.8
-122.3;85000.0;109.0;52.0;572.0;D;82.0;274.0;18.516;37.81
-122.29;129200.0;644.0;46.0;2801.0;D;611.0;1823.0;0.9802;37.81
-122.29;82500.0;152.0;26.0;768.0;D;127.0;392.0;17.719;37.81
-122.29;95200.0;297.0;46.0;935.0;D;277.0;582.0;0.7286;37.81
-122.29;75000.0;204.0;49.0;844.0;D;152.0;560.0;1.75;37.81
-122.29;67500.0;4.0;46.0;12.0;D;7.0;18.0;0.4999;37.81
-122.29;137500.0;161.0;20.0;835.0;D;133.0;290.0;2.483;37.81
-122.28;177500.0;462.0;17.0;1237.0;D;439.0;762.0;0.9241;37.81
-122.28;102100.0;562.0;36.0;2914.0;D;509.0;1236.0;24.464;37.81
-122.28;108300.0;243.0;19.0;1207.0;D;207.0;721.0;11.111;37.81
-122.29;112500.0;374.0;23.0;1745.0;D;325.0;1054.0;0.8026;37.81
-122.28;131300.0;176.0;38.0;684.0;D;155.0;344.0;20.114;37.8
-122.28;162500.0;289.0;17.0;924.0;D;289.0;609.0;1.5;37.81
-122.27;112500.0;56.0;52.0;210.0;D;56.0;183.0;11.667;37.81
-122.28;112500.0;97.0;52.0;340.0;D;87.0;200.0;15.208;37.81
-122.28;137500.0;164.0;52.0;386.0;D;155.0;346.0;0.8075;37.81
-122.28;118800.0;184.0;35.0;948.0;D;169.0;467.0;18.088;37.81
-122.28;98200.0;143.0;52.0;773.0;D;115.0;377.0;24.083;37.81
-122.27;118800.0;451.0;40.0;880.0;D;380.0;582.0;0.977;37.81
-122.27;162500.0;348.0;10.0;875.0;D;330.0;546.0;0.76;37.81
-122.27;137500.0;42.0;10.0;105.0;D;39.0;125.0;0.9722;37.8
-122.27;500001.0;78.0;52.0;249.0;D;85.0;396.0;12.434;37.8
-122.27;162500.0;392.0;16.0;994.0;D;362.0;800.0;20.938;37.8
-122.28;137500.0;87.0;52.0;215.0;D;88.0;904.0;0.8668;37.8
-122.28;162500.0;31.0;52.0;96.0;D;34.0;191.0;0.75;37.8
-122.27;187500.0;347.0;27.0;1055.0;D;302.0;718.0;26.354;37.79
-122.27;179200.0;623.0;39.0;1715.0;D;467.0;1327.0;18.477;37.8
-122.26;130000.0;2477.0;36.0;5329.0;D;2323.0;3469.0;20.096;37.8
-122.26;183800.0;1331.0;31.0;4596.0;D;1180.0;2048.0;28.345;37.82
-122.26;125000.0;107.0;29.0;335.0;D;91.0;202.0;20.062;37.81
-122.26;170000.0;1270.0;22.0;3682.0;D;1250.0;2024.0;12.185;37.82
-122.26;193100.0;1085.0;37.0;3633.0;D;980.0;1838.0;26.104;37.82
-122.25;257800.0;1414.0;29.0;4656.0;D;1250.0;2304.0;24.912;37.81
-122.25;273400.0;1603.0;28.0;5806.0;D;1497.0;2563.0;32.177;37.81
-122.25;237500.0;242.0;39.0;854.0;D;228.0;389.0;3.125;37.81
-122.25;350000.0;701.0;52.0;2155.0;D;613.0;895.0;25.795;37.81
-122.26;335700.0;1914.0;34.0;5871.0;D;1789.0;2689.0;28.406;37.81
-122.24;313400.0;225.0;52.0;1509.0;D;244.0;674.0;49.306;37.82
-122.24;268500.0;482.0;52.0;2026.0;D;456.0;709.0;32.727;37.81
-122.25;259400.0;460.0;52.0;1758.0;D;422.0;686.0;31.691;37.81
-122.24;275700.0;751.0;52.0;3481.0;D;718.0;1444.0;3.9;37.82
-122.25;225000.0;855.0;28.0;3337.0;D;802.0;1520.0;39.063;37.82
-122.25;262500.0;289.0;52.0;1424.0;D;253.0;550.0;50.917;37.82
-122.25;218500.0;1098.0;32.0;3809.0;D;1022.0;1806.0;26.429;37.82
-122.25;255000.0;1196.0;26.0;3959.0;D;1217.0;1749.0;30.233;37.82
-122.25;224100.0;559.0;52.0;2376.0;D;519.0;939.0;31.484;37.83
-122.25;243100.0;428.0;35.0;1613.0;D;422.0;675.0;34.722;37.83
-122.25;231600.0;287.0;52.0;1279.0;D;291.0;534.0;31.429;37.83
-122.25;218500.0;1750.0;28.0;5022.0;D;1661.0;2558.0;24.234;37.83
-122.25;234100.0;1105.0;52.0;4190.0;D;1037.0;1786.0;30.897;37.83
-122.23;327600.0;399.0;50.0;2515.0;D;373.0;970.0;58.596;37.84
-122.23;347600.0;454.0;47.0;3175.0;D;485.0;1098.0;52.868;37.84
-122.24;366100.0;406.0;41.0;2576.0;D;376.0;794.0;5.956;37.83
-122.24;335000.0;54.0;37.0;334.0;D;47.0;98.0;49.643;37.85
-122.23;373600.0;411.0;52.0;2800.0;D;403.0;1061.0;63.434;37.85
-122.24;389500.0;574.0;52.0;3529.0;D;555.0;1177.0;51.773;37.84
-122.24;391100.0;365.0;52.0;2612.0;D;367.0;901.0;72.354;37.85
-122.22;337300.0;1048.0;28.0;5287.0;D;956.0;2031.0;5.457;37.85
-122.22;295200.0;473.0;50.0;2935.0;D;479.0;1031.0;7.5;37.84
-122.21;292300.0;597.0;44.0;3424.0;D;597.0;1358.0;60.194;37.84
-122.21;411500.0;674.0;40.0;4991.0;D;654.0;1616.0;75.544;37.83
-122.2;311500.0;346.0;30.0;2211.0;D;343.0;844.0;60.666;37.84
-122.21;325900.0;490.0;34.0;3038.0;D;496.0;1140.0;70.548;37.84
-122.19;392600.0;210.0;18.0;1617.0;D;194.0;533.0;116.017;37.84
-122.2;319300.0;460.0;35.0;2865.0;D;443.0;1072.0;74.882;37.84
-122.21;333300.0;788.0;34.0;5065.0;D;766.0;1627.0;68.976;37.83
-122.19;335200.0;184.0;28.0;1326.0;D;190.0;463.0;82.049;37.83
-122.2;351200.0;223.0;26.0;1589.0;D;211.0;542.0;8.401;37.83
-122.19;368900.0;271.0;29.0;1791.0;D;269.0;661.0;68.538;37.83
-122.19;365900.0;264.0;32.0;1835.0;D;263.0;635.0;8.317;37.82
-122.2;366700.0;181.0;37.0;1229.0;D;176.0;420.0;70.175;37.82
-122.2;362800.0;534.0;39.0;3770.0;D;500.0;1265.0;63.302;37.82
-122.18;483300.0;38.0;30.0;292.0;D;52.0;126.0;63.624;37.81
-122.21;331400.0;333.0;52.0;2375.0;D;350.0;813.0;70.549;37.82
-122.2;323500.0;436.0;45.0;2964.0;D;426.0;1067.0;67.851;37.81
-122.21;216700.0;605.0;50.0;2833.0;D;552.0;1260.0;28.929;37.8
-122.21;233100.0;535.0;38.0;2254.0;D;487.0;951.0;30.812;37.8
-122.21;296400.0;212.0;52.0;1389.0;D;224.0;510.0;52.402;37.81
-122.22;273700.0;335.0;52.0;1971.0;D;308.0;765.0;65.217;37.81
-122.22;227700.0;465.0;52.0;2183.0;D;460.0;1129.0;32.632;37.8
-122.22;199600.0;464.0;52.0;2286.0;D;441.0;1073.0;30.298;37.8
-122.22;239800.0;541.0;52.0;2721.0;D;515.0;1185.0;45.428;37.8
-122.22;270100.0;339.0;52.0;2024.0;D;340.0;756.0;4.072;37.81
-122.22;302100.0;536.0;52.0;2944.0;D;521.0;1034.0;53.509;37.81
-122.23;269500.0;486.0;52.0;2033.0;D;459.0;787.0;31.603;37.8
-122.23;314700.0;229.0;52.0;1433.0;D;213.0;612.0;47.708;37.81
-122.22;390100.0;402.0;52.0;2927.0;D;380.0;1021.0;81.564;37.81
-122.23;410300.0;292.0;52.0;2315.0;D;258.0;861.0;88.793;37.81
-122.24;352400.0;313.0;52.0;2485.0;D;327.0;953.0;68.591;37.81
-122.24;287300.0;238.0;52.0;1490.0;D;256.0;634.0;60.302;37.81
-122.23;348700.0;365.0;52.0;2814.0;D;352.0;878.0;7.508;37.81
-122.24;243800.0;550.0;52.0;2093.0;D;483.0;918.0;27.477;37.81
-122.24;211500.0;168.0;52.0;888.0;D;175.0;360.0;21.944;37.8
-122.25;218400.0;510.0;52.0;2087.0;D;488.0;1197.0;30.149;37.8
-122.24;269900.0;502.0;52.0;2513.0;D;518.0;1048.0;3.675;37.81
-122.25;218800.0;835.0;46.0;3232.0;D;747.0;1373.0;3.225;37.81
-122.25;225000.0;1065.0;42.0;4120.0;D;1015.0;1715.0;29.345;37.8
-122.25;250000.0;792.0;43.0;2364.0;D;722.0;1359.0;21.429;37.8
-122.25;171400.0;469.0;41.0;1471.0;D;413.0;1062.0;16.121;37.8
-122.25;193800.0;864.0;29.0;2468.0;D;773.0;1335.0;13.929;37.8
-122.24;125000.0;492.0;27.0;1632.0;D;429.0;1171.0;23.173;37.79
-122.25;97500.0;526.0;45.0;1786.0;D;460.0;1475.0;17.772;37.79
-122.25;125000.0;188.0;50.0;629.0;D;196.0;742.0;26.458;37.79
-122.25;138800.0;391.0;52.0;1339.0;D;363.0;1086.0;2.181;37.79
-122.25;116700.0;606.0;36.0;1678.0;D;543.0;1645.0;22.303;37.8
-122.25;151800.0;647.0;43.0;2344.0;D;644.0;1710.0;16.504;37.8
-122.24;127000.0;228.0;52.0;996.0;D;228.0;731.0;22.697;37.8
-122.24;128600.0;373.0;52.0;1591.0;D;347.0;1118.0;21.563;37.8
-122.24;140600.0;398.0;52.0;1586.0;D;335.0;1006.0;21.348;37.8
-122.24;182700.0;588.0;47.0;2046.0;D;554.0;1213.0;26.292;37.8
-122.23;146900.0;289.0;52.0;1192.0;D;257.0;772.0;23.833;37.8
-122.24;122800.0;420.0;52.0;1803.0;D;401.0;1321.0;2.957;37.8
-122.24;169300.0;749.0;49.0;2838.0;D;677.0;1487.0;25.238;37.8
-122.23;126600.0;184.0;52.0;783.0;D;186.0;488.0;19.375;37.8
-122.23;127900.0;414.0;51.0;1590.0;D;392.0;949.0;19.028;37.8
-122.23;123500.0;480.0;50.0;1746.0;D;415.0;1149.0;2.25;37.8
-122.23;111900.0;299.0;52.0;1252.0;D;280.0;844.0;23.929;37.8
-122.23;112800.0;1344.0;43.0;5963.0;D;1231.0;4367.0;21.917;37.79
-122.23;107900.0;395.0;52.0;1783.0;D;412.0;1659.0;29.357;37.79
-122.23;137500.0;264.0;30.0;999.0;D;263.0;1011.0;18.854;37.79
-122.24;105500.0;431.0;39.0;1469.0;D;389.0;1464.0;21.638;37.79
-122.24;95500.0;395.0;47.0;1372.0;D;303.0;1237.0;2.125;37.79
-122.24;116100.0;180.0;52.0;674.0;D;168.0;647.0;3.375;37.79
-122.24;112200.0;376.0;43.0;1626.0;D;357.0;1284.0;22.542;37.79
-122.25;75000.0;43.0;51.0;175.0;D;55.0;228.0;2.1;37.79
-122.25;112500.0;129.0;39.0;461.0;D;123.0;381.0;1.6;37.79
-122.25;125000.0;237.0;52.0;902.0;D;227.0;846.0;3.625;37.79
-122.26;115000.0;779.0;20.0;2373.0;D;676.0;1659.0;16.929;37.8
-122.22;95000.0;128.0;52.0;391.0;D;138.0;520.0;16.471;37.77
-122.22;96400.0;301.0;52.0;1137.0;D;259.0;866.0;2.59;37.77
-122.23;72000.0;206.0;52.0;769.0;D;183.0;612.0;2.57;37.77
-122.23;71300.0;146.0;52.0;472.0;D;126.0;415.0;26.429;37.78
-122.23;80800.0;215.0;52.0;862.0;D;213.0;994.0;30.257;37.78
-122.22;128800.0;530.0;50.0;1920.0;D;477.0;1525.0;14.886;37.78
-122.23;112500.0;472.0;43.0;1420.0;D;438.0;1506.0;19.338;37.78
-122.23;119400.0;258.0;52.0;986.0;D;255.0;1008.0;14.844;37.78
-122.23;118100.0;825.0;44.0;2340.0;D;751.0;2813.0;16.009;37.78
-122.23;122500.0;396.0;48.0;1696.0;D;343.0;1481.0;20.375;37.79
-122.23;106300.0;217.0;49.0;1175.0;D;219.0;859.0;2.293;37.79
-122.22;132500.0;574.0;37.0;2343.0;D;523.0;1608.0;21.494;37.79
-122.23;122700.0;145.0;30.0;610.0;D;140.0;425.0;16.198;37.79
-122.23;113300.0;199.0;40.0;930.0;D;184.0;564.0;13.281;37.79
-122.22;109500.0;314.0;44.0;1487.0;D;272.0;961.0;35.156;37.79
-122.22;164700.0;690.0;52.0;3424.0;D;685.0;2273.0;39.048;37.79
-122.21;125000.0;190.0;52.0;762.0;D;195.0;600.0;30.893;37.79
-122.22;124700.0;575.0;46.0;2366.0;D;527.0;1647.0;26.042;37.79
-122.22;136700.0;450.0;49.0;1826.0;D;424.0;1201.0;2.5;37.79
-122.22;141700.0;711.0;38.0;3049.0;D;659.0;2167.0;27.969;37.79
-122.2;150000.0;376.0;29.0;1640.0;D;340.0;939.0;28.321;37.79
-122.21;138800.0;307.0;47.0;1543.0;D;292.0;859.0;29.583;37.79
-122.21;139200.0;557.0;34.0;2364.0;D;516.0;1517.0;28.365;37.79
-122.21;143800.0;409.0;35.0;1745.0;D;386.0;1143.0;2.875;37.79
-122.21;156500.0;500.0;39.0;2003.0;D;464.0;1109.0;30.682;37.8
-122.21;151000.0;447.0;39.0;2018.0;D;446.0;1221.0;30.757;37.8
-122.2;273000.0;499.0;43.0;3045.0;D;455.0;1115.0;49.559;37.8
-122.2;217100.0;293.0;52.0;1547.0;D;268.0;706.0;47.721;37.8
-122.21;187100.0;711.0;52.0;3519.0;D;706.0;1883.0;34.861;37.8
-122.2;239600.0;354.0;41.0;2070.0;D;340.0;804.0;51.184;37.8
-122.21;229700.0;263.0;48.0;1321.0;D;252.0;506.0;40.977;37.8
-122.19;257300.0;259.0;48.0;1694.0;D;238.0;610.0;4.744;37.8
-122.19;246900.0;341.0;46.0;1938.0;D;332.0;768.0;42.727;37.8
-122.19;179900.0;195.0;50.0;968.0;D;184.0;462.0;29.844;37.79
-122.2;169600.0;256.0;40.0;1060.0;D;235.0;667.0;41.739;37.79
-122.2;203300.0;405.0;46.0;2041.0;D;399.0;1059.0;38.487;37.8
-122.19;263400.0;271.0;52.0;1813.0;D;277.0;637.0;40.114;37.8
-122.19;231800.0;451.0;45.0;2718.0;D;454.0;1106.0;46.563;37.79
-122.19;140500.0;761.0;28.0;3144.0;D;669.0;1737.0;29.297;37.79
-122.2;126000.0;459.0;35.0;1802.0;D;390.0;1009.0;23.036;37.79
-122.2;122000.0;195.0;49.0;882.0;D;210.0;737.0;26.667;37.79
-122.2;134700.0;452.0;44.0;1621.0;D;491.0;1354.0;2.619;37.79
-122.21;139400.0;533.0;45.0;2115.0;D;474.0;1530.0;24.167;37.79
-122.2;115400.0;528.0;45.0;2021.0;D;480.0;1410.0;27.788;37.79
-122.21;137300.0;508.0;46.0;2239.0;D;569.0;1390.0;27.352;37.78
-122.21;137000.0;300.0;52.0;1477.0;D;269.0;1065.0;18.472;37.78
-122.21;142600.0;224.0;52.0;1056.0;D;245.0;792.0;26.583;37.78
-122.21;137500.0;244.0;49.0;898.0;D;245.0;779.0;30.536;37.78
-122.22;111700.0;710.0;44.0;2968.0;D;610.0;2269.0;23.906;37.78
-122.21;126800.0;460.0;43.0;1702.0;D;407.0;1227.0;17.188;37.78
-122.21;111300.0;248.0;47.0;881.0;D;241.0;753.0;2.625;37.78
-122.22;114800.0;114.0;40.0;494.0;D;135.0;547.0;28.015;37.77
-122.22;102300.0;473.0;50.0;1776.0;D;440.0;1807.0;17.276;37.78
-122.22;131900.0;514.0;44.0;1678.0;D;495.0;1700.0;20.801;37.78
-122.22;119100.0;463.0;51.0;1637.0;D;393.0;1543.0;2.489;37.78
-122.21;80600.0;314.0;52.0;1420.0;D;300.0;1085.0;17.546;37.76
-122.21;80600.0;173.0;52.0;591.0;D;137.0;353.0;40.904;37.77
-122.21;88800.0;153.0;52.0;745.0;D;149.0;473.0;26.765;37.77
-122.2;102400.0;498.0;49.0;2272.0;D;483.0;1621.0;24.338;37.77
-122.21;98700.0;375.0;46.0;1234.0;D;354.0;1183.0;23.309;37.77
-122.21;100000.0;328.0;43.0;1017.0;D;277.0;836.0;22.604;37.77
-122.19;92300.0;254.0;42.0;932.0;D;263.0;900.0;18.039;37.77
-122.2;94800.0;597.0;39.0;2689.0;D;537.0;1888.0;22.562;37.77
-122.2;102000.0;415.0;41.0;1547.0;D;341.0;1024.0;20.562;37.77
-122.2;158400.0;443.0;52.0;2300.0;D;423.0;1225.0;35.398;37.78
-122.2;121600.0;399.0;39.0;1752.0;D;376.0;1071.0;31.167;37.78
-122.2;129100.0;403.0;50.0;1867.0;D;378.0;1128.0;25.401;37.78
-122.2;121400.0;502.0;43.0;2430.0;D;484.0;1537.0;2.898;37.77
-122.21;102800.0;414.0;44.0;1729.0;D;393.0;1240.0;23.125;37.78
-122.19;160000.0;180.0;52.0;1026.0;D;168.0;469.0;2.875;37.78
-122.19;143900.0;428.0;52.0;2170.0;D;425.0;1086.0;33.715;37.77
-122.19;151200.0;445.0;52.0;2329.0;D;417.0;1144.0;35.114;37.77
-122.19;164400.0;415.0;52.0;2492.0;D;375.0;1109.0;43.125;37.78
-122.19;156500.0;397.0;52.0;2198.0;D;369.0;984.0;3.22;37.78
-122.18;225000.0;31.0;33.0;142.0;D;47.0;575.0;3.875;37.78
-122.19;174200.0;205.0;49.0;1183.0;D;209.0;496.0;52.328;37.78
-122.19;166900.0;193.0;52.0;1070.0;D;190.0;555.0;37.262;37.78
-122.2;163500.0;332.0;45.0;1766.0;D;327.0;869.0;45.893;37.78
-122.18;253000.0;95.0;39.0;617.0;D;106.0;236.0;52.578;37.79
-122.18;240700.0;233.0;41.0;1411.0;D;214.0;626.0;70.875;37.79
-122.18;208100.0;387.0;46.0;2109.0;D;329.0;922.0;39.712;37.79
-122.19;198100.0;243.0;47.0;1229.0;D;256.0;582.0;29.514;37.79
-122.19;172800.0;217.0;50.0;954.0;D;201.0;546.0;26.667;37.79
-122.18;336700.0;262.0;37.0;1643.0;D;266.0;620.0;54.446;37.81
-122.18;318200.0;195.0;34.0;1355.0;D;195.0;442.0;62.838;37.8
-122.18;285800.0;336.0;23.0;2317.0;D;328.0;955.0;67.527;37.8
-122.13;293000.0;317.0;24.0;2459.0;D;324.0;916.0;70.712;37.77
-122.16;371000.0;2048.0;22.0;12842.0;D;1967.0;4985.0;59.849;37.79
-122.17;157300.0;260.0;42.0;1524.0;D;267.0;651.0;36.875;37.78
-122.17;135300.0;746.0;30.0;3326.0;D;703.0;1704.0;2.875;37.77
-122.18;136700.0;440.0;43.0;1985.0;D;407.0;1085.0;34.205;37.78
-122.18;160700.0;322.0;50.0;1642.0;D;284.0;713.0;32.984;37.78
-122.17;140600.0;177.0;49.0;893.0;D;181.0;468.0;3.875;37.78
-122.17;144000.0;128.0;52.0;653.0;D;121.0;296.0;4.175;37.78
-122.16;161900.0;;47.0;1256.0;D;218.0;570.0;4.375;37.77
-122.16;156300.0;194.0;48.0;977.0;D;180.0;446.0;47.708;37.77
-122.16;176000.0;397.0;45.0;2324.0;D;384.0;968.0;35.739;37.77
-122.16;145800.0;349.0;39.0;1583.0;D;316.0;857.0;30.958;37.77
-122.17;141900.0;342.0;39.0;1612.0;D;322.0;912.0;33.958;37.77
-122.17;90700.0;533.0;31.0;2424.0;D;452.0;1360.0;1.871;37.77
-122.17;90600.0;367.0;41.0;1594.0;D;355.0;1074.0;19.356;37.76
-122.17;107900.0;413.0;47.0;2118.0;D;382.0;965.0;21.842;37.76
-122.18;107000.0;358.0;37.0;1575.0;D;320.0;933.0;22.917;37.76
-122.17;98200.0;397.0;38.0;1764.0;D;354.0;987.0;24.333;37.76
-122.18;89500.0;261.0;50.0;1187.0;D;246.0;907.0;19.479;37.76
-122.18;93800.0;175.0;52.0;754.0;D;165.0;447.0;39.063;37.76
-122.18;96700.0;452.0;49.0;2308.0;D;451.0;1299.0;18.407;37.76
-122.18;97500.0;236.0;27.0;909.0;D;157.0;396.0;20.786;37.77
-122.18;97300.0;257.0;42.0;1180.0;D;268.0;877.0;28.125;37.77
-122.18;91200.0;408.0;43.0;2018.0;D;367.0;1111.0;18.913;37.76
-122.19;91400.0;282.0;49.0;1368.0;D;269.0;790.0;17.056;37.76
-122.18;96200.0;547.0;52.0;2744.0;D;554.0;1479.0;22.768;37.77
-122.18;120100.0;471.0;51.0;2107.0;D;438.0;1173.0;32.552;37.77
-122.18;100000.0;362.0;52.0;1748.0;D;366.0;1029.0;20.556;37.77
-122.19;94700.0;391.0;52.0;2024.0;D;350.0;1030.0;24.659;37.76
-122.2;85700.0;259.0;47.0;1116.0;D;279.0;826.0;1.75;37.76
-122.19;89300.0;510.0;41.0;2036.0;D;454.0;1412.0;20.469;37.77
-122.19;101400.0;393.0;45.0;1852.0;D;349.0;1132.0;27.159;37.77
-122.19;72500.0;207.0;41.0;921.0;D;159.0;522.0;12.083;37.76
-122.19;74100.0;238.0;45.0;995.0;D;237.0;630.0;1.925;37.76
-122.2;70000.0;132.0;36.0;606.0;D;133.0;531.0;15.809;37.75
-122.2;84600.0;736.0;37.0;2680.0;D;667.0;1925.0;14.097;37.76
-122.19;81800.0;370.0;38.0;1493.0;D;351.0;1144.0;0.7683;37.76
-122.19;81400.0;565.0;19.0;2207.0;D;520.0;1481.0;13.194;37.75
-122.19;81800.0;189.0;28.0;856.0;D;162.0;435.0;0.8012;37.75
-122.19;85800.0;297.0;26.0;1293.0;D;303.0;984.0;19.479;37.76
-122.19;87100.0;212.0;36.0;847.0;D;159.0;567.0;11.765;37.74
-122.18;83500.0;154.0;42.0;541.0;D;123.0;380.0;23.456;37.74
-122.19;79700.0;253.0;44.0;1066.0;D;244.0;825.0;21.538;37.73
-122.19;83400.0;147.0;43.0;707.0;D;155.0;417.0;25.139;37.74
-122.19;84700.0;291.0;45.0;1528.0;D;287.0;801.0;12.625;37.73
-122.18;80000.0;215.0;42.0;909.0;D;198.0;646.0;29.063;37.73
-122.18;76400.0;293.0;43.0;1391.0;D;285.0;855.0;25.192;37.73
-122.18;79700.0;119.0;44.0;548.0;D;136.0;435.0;21.111;37.73
-122.18;82400.0;874.0;42.0;4074.0;D;780.0;2736.0;2.455;37.73
-122.17;97700.0;445.0;41.0;1613.0;D;414.0;1481.0;24.028;37.74
-122.17;97200.0;134.0;47.0;463.0;D;137.0;327.0;2.15;37.74
-122.17;101600.0;193.0;43.0;818.0;D;179.0;494.0;24.776;37.74
-122.17;86500.0;371.0;43.0;1473.0;D;341.0;1231.0;21.587;37.73
-122.18;90500.0;126.0;35.0;504.0;D;109.0;323.0;18.438;37.74
-122.17;107600.0;226.0;46.0;1026.0;D;225.0;749.0;30.298;37.74
